"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in USD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","account type","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","Regulatory Fee","Tax On Regulatory Fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Oct 27, 2025 3:51:22 PM PDT","24792137001","Refund","113-2020506-7739438","MSUS-D33-7-3","Gnowann Strapless Bras for Women Non-Slip Silicone Bandeau Bralette Seamless Wireless Strapless Bra Padded Tube Top Coffe M","1","amazon.com","Standard Orders","Amazon","RANCHO CUCAMONGA","CA","91739","Combined TCS+MTC","-17.81","-1.38","0","0","0","0","0","0","0","0","1.38","1.42","0","0","3.56","-12.83"
"Oct 27, 2025 4:17:45 PM PDT","24792137001","Refund","113-0669410-2515440","MSUS-D33-2-2","Gnowann Strapless Bras for Women Non-Slip Silicone Bandeau Bralette Seamless Wireless Strapless Bra Padded Tube Top Black S","1","amazon.com","Standard Orders","Amazon","LOS ANGELES","CA","90034","MarketplaceFacilitator","-14.95","-1.46","0","0","0","0","0","0","0","0","1.46","0.60","0","0","0","-14.35"
"Oct 27, 2025 4:23:35 PM PDT","24792137001","Order","113-0918153-6537053","MSUS-D33-7-4","Gnowann Strapless Bras for Women Non-Slip Silicone Bandeau Bralette Seamless Wireless Strapless Bra Padded Tube Top Coffe L","1","amazon.com","Standard Orders","Amazon","RIVERSIDE","CA","92504","MarketplaceFacilitator","14.07","1.23","0","0","0","0","0","0","0","0","-1.23","-0.70","-5.00","0","0","8.37"
"Oct 27, 2025 5:06:36 PM PDT","24792137001","Order","111-9777572-6416224","MSUS-D33-5-3","Gnowann Strapless Bras for Women Non-Slip Silicone Bandeau Bralette Seamless Wireless Strapless Bra Padded Tube Top Beige M","1","amazon.com","Standard Orders","Amazon","TUCSON","AZ","85742","MarketplaceFacilitator","14.95","0.91","0","0","0","0","0","0","0","0","-0.91","-0.75","-5.00","0","0","9.20"
"Oct 27, 2025 5:10:15 PM PDT","24792137001","Order","114-2159422-4821814","MSUS-D33-5-6","Gnowann Strapless Bras for Women Non-Slip Silicone Bandeau Bralette Seamless Wireless Strapless Bra Padded Tube Top Beige 2XL","1","amazon.com","Standard Orders","Amazon","MOUNT OLIVER","PA","15210","MarketplaceFacilitator","15.39","0","0","0","0","0","0","0","0","0","0","-1.54","-5.46","0","0","8.39"
"Oct 27, 2025 5:27:16 PM PDT","24792137001","Refund","114-9003512-1014658","MSUS-D33-5-3","Gnowann Strapless Bras for Women Non-Slip Silicone Bandeau Bralette Seamless Wireless Strapless Bra Padded Tube Top Beige M","1","amazon.com","Standard Orders","Amazon","DURANGO","CO","81303","MarketplaceFacilitator","-14.95","-0.73","0","0","0","0","0","0","0","0","0.73","0.60","0","0","0","-14.35"
"Oct 27, 2025 5:48:00 PM PDT","24792137001","FBA Customer Return Fee","114-5069112-3209814","X00413QL0B","FBA Customer Return Per Unit Fee (Apparel & Shoes)","","Amazon.com","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-2.19","0","0","-2.19"
"Oct 27, 2025 6:02:23 PM PDT","24792137001","FBA Customer Return Fee","111-4920902-2422629","X00413QKJN","FBA Customer Return Per Unit Fee (Apparel & Shoes)","","Amazon.com","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-2.27","0","0","-2.27"
"Oct 27, 2025 6:04:15 PM PDT","24792137001","Refund","111-5350826-2789834","MSUS-D33-5-6","Gnowann Strapless Bras for Women Non-Slip Silicone Bandeau Bralette Seamless Wireless Strapless Bra Padded Tube Top Beige 2XL","1","amazon.com","Standard Orders","Amazon","SEWAREN","NJ","07077","MarketplaceFacilitator","-15.83","0","0","0","0","0","0","0","0","0","0","1.26","0","0","0","-14.57"
"Oct 27, 2025 6:39:13 PM PDT","24792137001","Refund","114-5049509-9417821","MSUS-D33-5-2","Gnowann Strapless Bras for Women Non-Slip Silicone Bandeau Bralette Seamless Wireless Strapless Bra Padded Tube Top Beige S","1","amazon.com","Standard Orders","Amazon","VISALIA","CA","93277","MarketplaceFacilitator","-15.14","-1.29","-1.50","0","0","0","0","0","1.50","0","1.29","1.21","0","0","0","-13.93"
